Yamada Daichi;091111-11-1234;60198765411
Kobayashi Ayumi;101212-12-2345;60198765412
Fujiwara Ryu;111313-13-3456;60198765413
Nishimura Hana;121414-14-4567;60198765416
Ishikawa Masato;131515-15-5678;60198765415
Nakano Yuki;141616-16-6789;60198765416
Ikeda Hitoshi;151717-17-7890;60198765418
Mori Aiko;161818-18-8901;60198765418
Watanabe Takumi;171919-19-9012;60198765419
Saito Momoka;242626-26-6789;60198765426
Yamamoto Hiro;252727-27-7890;60198765427
Kang Minji;951212-08-1234;60123456789
Park Joonseo;890101-11-2345;60198765401
Kim Sooyeon;820303-06-3456;60198765402
Lee Hyewon;940505-04-4567;60198765403
Choi Jisoo;880707-09-5678;60198765404
Ito Ran,262828-28-8901,60198765428
Sato Kaori,272929-29-9012,60198765429
Taniguchi Takahiro,283030-30-0123,60198765430
